epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,10.6128,1.85129,0.16667,0.83333,1.95117,0.00045,0.00015,0.00045,0.00015,0.00045,0.00015,0.00045,0.00015
2,13.4729,1.77276,0.16667,1,1.8877,0.000883965,0.000294655,0.000883965,0.000294655,0.000883965,0.000294655,0.000883965,0.000294655
3,15.2202,1.65469,0.16667,0.83333,1.84375,0.00127041,0.00042347,0.00127041,0.00042347,0.00127041,0.00042347,0.00127041,0.00042347
4,16.829,1.5607,0.16667,0.83333,1.84082,0.00160934,0.000536445,0.00160934,0.000536445,0.00160934,0.000536445,0.00160934,0.000536445
5,18.2258,1.43993,0.16667,0.83333,1.81934,0.00190074,0.00063358,0.00190074,0.00063358,0.00190074,0.00063358,0.00190074,0.00063358
6,19.8951,1.35327,0.16667,0.83333,1.83398,0.00214462,0.000714875,0.00214462,0.000714875,0.00214462,0.000714875,0.00214462,0.000714875
7,22.2748,1.18589,0.16667,0.83333,1.82812,0.002109,0.000703,0.002109,0.000703,0.002109,0.000703,0.002109,0.000703
8,24.8519,1.09874,0.16667,0.66667,1.8252,0.0019605,0.0006535,0.0019605,0.0006535,0.0019605,0.0006535,0.0019605,0.0006535
9,27.2354,1.01967,0.16667,0.66667,1.81641,0.001812,0.000604,0.001812,0.000604,0.001812,0.000604,0.001812,0.000604
10,29.8876,0.93798,0.33333,0.66667,1.8291,0.0016635,0.0005545,0.0016635,0.0005545,0.0016635,0.0005545,0.0016635,0.0005545
11,68.2488,0.88661,0.33333,0.66667,1.83301,0.001515,0.000505,0.001515,0.000505,0.001515,0.000505,0.001515,0.000505
12,70.5867,0.88766,0.33333,0.83333,1.85254,0.0013665,0.0004555,0.0013665,0.0004555,0.0013665,0.0004555,0.0013665,0.0004555
13,72.8843,0.77142,0.33333,0.83333,1.87402,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406
14,75.1932,0.7667,0.33333,0.66667,1.88672,0.0010695,0.0003565,0.0010695,0.0003565,0.0010695,0.0003565,0.0010695,0.0003565
15,78.2786,0.74974,0.33333,0.83333,1.91113,0.000921,0.000307,0.000921,0.000307,0.000921,0.000307,0.000921,0.000307
16,80.475,0.7301,0.33333,0.66667,1.8916,0.0007725,0.0002575,0.0007725,0.0002575,0.0007725,0.0002575,0.0007725,0.0002575
17,82.884,0.67454,0.33333,0.66667,1.8916,0.000624,0.000208,0.000624,0.000208,0.000624,0.000208,0.000624,0.000208
18,85.1984,0.68616,0.5,0.66667,1.90137,0.0004755,0.0001585,0.0004755,0.0001585,0.0004755,0.0001585,0.0004755,0.0001585
19,87.4964,0.67035,0.5,0.66667,1.88379,0.000327,0.000109,0.000327,0.000109,0.000327,0.000109,0.000327,0.000109
20,89.4034,0.67399,0.5,0.66667,1.86621,0.0001785,5.95e-05,0.0001785,5.95e-05,0.0001785,5.95e-05,0.0001785,5.95e-05
